,file_name,bbox_x1,bbox_y1,bbox_x2,bbox_y2,class,class_names
1653,dataset\cars_train\01654.jpg,76,290,1218,697,62,Chevrolet Sonic Sedan 2012
1654,dataset\cars_train\01655.jpg,20,195,734,439,121,GMC Canyon Extended Cab 2012
1655,dataset\cars_train\01656.jpg,29,2,273,159,31,BMW X5 SUV 2007
1656,dataset\cars_train\01657.jpg,58,100,1333,814,148,Jeep Compass SUV 2012
1657,dataset\cars_train\01658.jpg,15,55,439,263,174,Rolls-Royce Phantom Drophead Coupe Convertible 2012
1658,dataset\cars_train\01659.jpg,177,382,1465,872,129,Hyundai Veloster Hatchback 2012
1659,dataset\cars_train\01660.jpg,12,17,271,284,99,FIAT 500 Convertible 2012
1660,dataset\cars_train\01661.jpg,178,214,901,658,0,AM General Hummer SUV 2000
1661,dataset\cars_train\01662.jpg,30,36,734,240,172,Porsche Panamera Sedan 2012
1662,dataset\cars_train\01663.jpg,8,77,500,268,26,BMW 1 Series Convertible 2012
1663,dataset\cars_train\01664.jpg,21,16,493,262,125,Honda Odyssey Minivan 2012
1664,dataset\cars_train\01665.jpg,57,70,651,355,137,Hyundai Sonata Sedan 2012
1665,dataset\cars_train\01666.jpg,252,167,483,266,151,Lamborghini Gallardo LP 570-4 Superleggera 2012
1666,dataset\cars_train\01667.jpg,42,61,433,288,145,Jeep Wrangler SUV 2012
1667,dataset\cars_train\01668.jpg,24,156,448,419,118,GMC Savana Van 2012
1668,dataset\cars_train\01669.jpg,24,71,611,423,132,Hyundai Veracruz SUV 2012
1669,dataset\cars_train\01670.jpg,9,16,204,136,189,Volkswagen Golf Hatchback 2012
1670,dataset\cars_train\01671.jpg,23,365,529,717,46,Buick Regal GS 2012
1671,dataset\cars_train\01672.jpg,15,67,398,253,32,BMW X6 SUV 2012
1672,dataset\cars_train\01673.jpg,56,146,575,403,80,Chrysler PT Cruiser Convertible 2008
1673,dataset\cars_train\01674.jpg,180,43,870,713,166,Mitsubishi Lancer Sedan 2012
1674,dataset\cars_train\01675.jpg,49,59,591,273,34,BMW M5 Sedan 2010
1675,dataset\cars_train\01676.jpg,130,169,1537,1156,97,Eagle Talon Hatchback 1998
1676,dataset\cars_train\01677.jpg,23,58,351,248,43,Bentley Continental Flying Spur Sedan 2007
1677,dataset\cars_train\01678.jpg,82,95,416,268,9,Aston Martin Virage Convertible 2012
1678,dataset\cars_train\01679.jpg,14,137,621,429,63,Chevrolet Express Cargo Van 2007
1679,dataset\cars_train\01680.jpg,37,137,997,602,8,Aston Martin V8 Vantage Coupe 2012
1680,dataset\cars_train\01681.jpg,69,282,1197,785,32,BMW X6 SUV 2012
1681,dataset\cars_train\01682.jpg,105,102,624,372,82,Dodge Caliber Wagon 2012
1682,dataset\cars_train\01683.jpg,19,55,244,160,85,Dodge Ram Pickup 3500 Crew Cab 2010
1683,dataset\cars_train\01684.jpg,71,204,686,371,150,Lamborghini Aventador Coupe 2012
1684,dataset\cars_train\01685.jpg,56,224,1210,662,92,Dodge Challenger SRT8 2011
1685,dataset\cars_train\01686.jpg,39,61,348,283,112,Ford F-150 Regular Cab 2012
1686,dataset\cars_train\01687.jpg,16,29,180,119,29,BMW 3 Series Wagon 2012
1687,dataset\cars_train\01688.jpg,205,34,1333,864,105,Ford F-450 Super Duty Crew Cab 2012
1688,dataset\cars_train\01689.jpg,16,54,295,158,79,Chrysler Crossfire Convertible 2008
1689,dataset\cars_train\01690.jpg,23,34,190,96,69,Chevrolet Silverado 1500 Classic Extended Cab 2007
1690,dataset\cars_train\01691.jpg,55,158,961,677,49,Buick Enclave SUV 2012
1691,dataset\cars_train\01692.jpg,79,300,627,589,139,Hyundai Azera Sedan 2012
1692,dataset\cars_train\01693.jpg,40,43,988,701,130,Hyundai Santa Fe SUV 2012
1693,dataset\cars_train\01694.jpg,25,96,637,399,73,Chevrolet Silverado 1500 Extended Cab 2012
1694,dataset\cars_train\01695.jpg,29,45,228,167,130,Hyundai Santa Fe SUV 2012
1695,dataset\cars_train\01696.jpg,43,30,247,147,187,Toyota Corolla Sedan 2012
1696,dataset\cars_train\01697.jpg,112,31,496,348,117,GMC Terrain SUV 2012
1697,dataset\cars_train\01698.jpg,57,67,256,179,122,Geo Metro Convertible 1993
1698,dataset\cars_train\01699.jpg,19,18,254,198,188,Toyota 4Runner SUV 2012
1699,dataset\cars_train\01700.jpg,42,77,573,431,17,Audi 100 Wagon 1994
1700,dataset\cars_train\01701.jpg,82,42,254,159,94,Dodge Durango SUV 2007
1701,dataset\cars_train\01702.jpg,97,77,495,405,59,Chevrolet HHR SS 2010
1702,dataset\cars_train\01703.jpg,123,35,487,297,45,Bugatti Veyron 16.4 Coupe 2009
1703,dataset\cars_train\01704.jpg,28,28,378,239,83,Dodge Caliber Wagon 2007
1704,dataset\cars_train\01705.jpg,22,101,380,235,2,Acura TL Sedan 2012
1705,dataset\cars_train\01706.jpg,19,74,381,232,6,Acura ZDX Hatchback 2012
1706,dataset\cars_train\01707.jpg,79,165,744,556,55,Chevrolet Corvette ZR1 2012
1707,dataset\cars_train\01708.jpg,80,169,366,254,45,Bugatti Veyron 16.4 Coupe 2009
1708,dataset\cars_train\01709.jpg,236,133,472,319,95,Dodge Charger Sedan 2012
1709,dataset\cars_train\01710.jpg,149,76,1497,937,54,Chevrolet Corvette Convertible 2012
1710,dataset\cars_train\01711.jpg,231,72,1007,667,153,Land Rover Range Rover SUV 2012
1711,dataset\cars_train\01712.jpg,25,237,606,447,70,Chevrolet Express Van 2007
1712,dataset\cars_train\01713.jpg,43,237,515,445,170,Nissan 240SX Coupe 1998
1713,dataset\cars_train\01714.jpg,25,61,583,277,25,BMW ActiveHybrid 5 Sedan 2012
1714,dataset\cars_train\01715.jpg,19,114,620,426,12,Audi A5 Coupe 2012
1715,dataset\cars_train\01716.jpg,60,91,588,373,2,Acura TL Sedan 2012
1716,dataset\cars_train\01717.jpg,9,51,489,295,152,Lamborghini Diablo Coupe 2001
1717,dataset\cars_train\01718.jpg,65,132,1790,1150,148,Jeep Compass SUV 2012
1718,dataset\cars_train\01719.jpg,42,81,241,164,30,BMW 6 Series Convertible 2007
1719,dataset\cars_train\01720.jpg,9,147,1022,612,166,Mitsubishi Lancer Sedan 2012
1720,dataset\cars_train\01721.jpg,21,47,615,408,95,Dodge Charger Sedan 2012
1721,dataset\cars_train\01722.jpg,10,61,435,282,104,Fisker Karma Sedan 2012
1722,dataset\cars_train\01723.jpg,7,129,796,475,157,Maybach Landaulet Convertible 2012
1723,dataset\cars_train\01724.jpg,67,177,626,480,114,Ford Focus Sedan 2007
1724,dataset\cars_train\01725.jpg,211,73,645,352,177,Scion xD Hatchback 2012
1725,dataset\cars_train\01726.jpg,73,97,587,375,161,Mercedes-Benz C-Class Sedan 2012
1726,dataset\cars_train\01727.jpg,32,1,511,236,125,Honda Odyssey Minivan 2012
1727,dataset\cars_train\01728.jpg,27,27,249,160,155,Lincoln Town Car Sedan 2011
1728,dataset\cars_train\01729.jpg,15,113,469,317,149,Lamborghini Reventon Coupe 2008
1729,dataset\cars_train\01730.jpg,59,172,593,359,149,Lamborghini Reventon Coupe 2008
1730,dataset\cars_train\01731.jpg,80,78,400,326,66,Chevrolet Malibu Hybrid Sedan 2010
1731,dataset\cars_train\01732.jpg,12,134,677,432,86,Dodge Ram Pickup 3500 Quad Cab 2009
1732,dataset\cars_train\01733.jpg,194,364,1292,837,12,Audi A5 Coupe 2012
1733,dataset\cars_train\01734.jpg,237,435,1000,876,139,Hyundai Azera Sedan 2012
1734,dataset\cars_train\01735.jpg,30,224,462,396,172,Porsche Panamera Sedan 2012
1735,dataset\cars_train\01736.jpg,20,56,419,265,68,Chevrolet Silverado 2500HD Regular Cab 2012
1736,dataset\cars_train\01737.jpg,27,41,635,459,131,Hyundai Tucson SUV 2012
1737,dataset\cars_train\01738.jpg,14,38,224,173,133,Hyundai Sonata Hybrid Sedan 2012
1738,dataset\cars_train\01739.jpg,41,71,488,309,194,Volvo XC90 SUV 2007
1739,dataset\cars_train\01740.jpg,2,59,429,262,154,Land Rover LR2 SUV 2012
1740,dataset\cars_train\01741.jpg,52,31,423,275,138,Hyundai Elantra Touring Hatchback 2012
1741,dataset\cars_train\01742.jpg,11,9,255,182,130,Hyundai Santa Fe SUV 2012
1742,dataset\cars_train\01743.jpg,39,201,1003,681,79,Chrysler Crossfire Convertible 2008
1743,dataset\cars_train\01744.jpg,39,64,558,215,143,Jaguar XK XKR 2012
1744,dataset\cars_train\01745.jpg,24,49,996,767,70,Chevrolet Express Van 2007
1745,dataset\cars_train\01746.jpg,28,155,860,403,78,Chrysler 300 SRT-8 2010
1746,dataset\cars_train\01747.jpg,92,77,585,409,168,Nissan NV Passenger Van 2012
1747,dataset\cars_train\01748.jpg,69,181,424,373,129,Hyundai Veloster Hatchback 2012
1748,dataset\cars_train\01749.jpg,7,52,130,129,156,MINI Cooper Roadster Convertible 2012
1749,dataset\cars_train\01750.jpg,51,57,590,402,2,Acura TL Sedan 2012
1750,dataset\cars_train\01751.jpg,22,24,378,170,52,Cadillac Escalade EXT Crew Cab 2007
1751,dataset\cars_train\01752.jpg,49,138,560,386,59,Chevrolet HHR SS 2010
1752,dataset\cars_train\01753.jpg,1,14,300,174,41,Bentley Continental GT Coupe 2012
1753,dataset\cars_train\01754.jpg,70,164,905,698,131,Hyundai Tucson SUV 2012
1754,dataset\cars_train\01755.jpg,7,44,253,154,12,Audi A5 Coupe 2012
1755,dataset\cars_train\01756.jpg,514,43,1063,360,159,McLaren MP4-12C Coupe 2012
1756,dataset\cars_train\01757.jpg,55,72,410,239,37,BMW Z4 Convertible 2012
1757,dataset\cars_train\01758.jpg,1,103,639,480,113,Ford F-150 Regular Cab 2007
1758,dataset\cars_train\01759.jpg,23,52,288,183,180,Suzuki Aerio Sedan 2007
1759,dataset\cars_train\01760.jpg,38,31,180,112,122,Geo Metro Convertible 1993
1760,dataset\cars_train\01761.jpg,23,27,611,426,182,Suzuki SX4 Hatchback 2012
1761,dataset\cars_train\01762.jpg,1,700,1189,1159,11,Audi RS 4 Convertible 2008
1762,dataset\cars_train\01763.jpg,104,122,450,335,174,Rolls-Royce Phantom Drophead Coupe Convertible 2012
1763,dataset\cars_train\01764.jpg,79,134,587,364,148,Jeep Compass SUV 2012
1764,dataset\cars_train\01765.jpg,56,40,195,160,110,Ford Ranger SuperCab 2011
1765,dataset\cars_train\01766.jpg,20,33,414,278,89,Dodge Dakota Crew Cab 2010
1766,dataset\cars_train\01767.jpg,84,107,496,254,10,Aston Martin Virage Coupe 2012
1767,dataset\cars_train\01768.jpg,26,149,626,425,8,Aston Martin V8 Vantage Coupe 2012
1768,dataset\cars_train\01769.jpg,65,66,386,270,147,Jeep Grand Cherokee SUV 2012
1769,dataset\cars_train\01770.jpg,86,159,659,406,46,Buick Regal GS 2012
1770,dataset\cars_train\01771.jpg,40,53,561,346,155,Lincoln Town Car Sedan 2011
1771,dataset\cars_train\01772.jpg,35,42,274,154,38,Bentley Continental Supersports Conv. Convertible 2012
1772,dataset\cars_train\01773.jpg,7,69,289,216,107,Ford Freestar Minivan 2007
1773,dataset\cars_train\01774.jpg,27,124,732,521,194,Volvo XC90 SUV 2007
1774,dataset\cars_train\01775.jpg,15,36,629,291,30,BMW 6 Series Convertible 2007
1775,dataset\cars_train\01776.jpg,49,177,388,318,174,Rolls-Royce Phantom Drophead Coupe Convertible 2012
1776,dataset\cars_train\01777.jpg,66,71,388,309,100,Ferrari FF Coupe 2012
1777,dataset\cars_train\01778.jpg,36,99,585,426,21,Audi S5 Coupe 2012
1778,dataset\cars_train\01779.jpg,26,181,879,562,111,Ford GT Coupe 2006
1779,dataset\cars_train\01780.jpg,95,194,505,464,167,Nissan Leaf Hatchback 2012
1780,dataset\cars_train\01781.jpg,29,74,619,376,116,Ford Fiesta Sedan 2012
1781,dataset\cars_train\01782.jpg,48,9,610,247,16,Audi 100 Sedan 1994
1782,dataset\cars_train\01783.jpg,39,44,472,247,14,Audi R8 Coupe 2012
1783,dataset\cars_train\01784.jpg,19,184,886,722,94,Dodge Durango SUV 2007
1784,dataset\cars_train\01785.jpg,22,69,231,154,72,Chevrolet Malibu Sedan 2007
1785,dataset\cars_train\01786.jpg,114,67,553,371,9,Aston Martin Virage Convertible 2012
1786,dataset\cars_train\01787.jpg,11,26,98,68,122,Geo Metro Convertible 1993
1787,dataset\cars_train\01788.jpg,9,11,141,85,87,Dodge Sprinter Cargo Van 2009
1788,dataset\cars_train\01789.jpg,15,83,561,422,86,Dodge Ram Pickup 3500 Quad Cab 2009
1789,dataset\cars_train\01790.jpg,45,81,578,397,112,Ford F-150 Regular Cab 2012
1790,dataset\cars_train\01791.jpg,40,58,1916,1018,169,Nissan Juke Hatchback 2012
1791,dataset\cars_train\01792.jpg,44,20,1225,739,38,Bentley Continental Supersports Conv. Convertible 2012
1792,dataset\cars_train\01793.jpg,8,37,257,175,115,Ford E-Series Wagon Van 2012
1793,dataset\cars_train\01794.jpg,115,157,619,361,177,Scion xD Hatchback 2012
1794,dataset\cars_train\01795.jpg,28,47,1007,598,77,Chrysler Town and Country Minivan 2012
1795,dataset\cars_train\01796.jpg,127,49,552,331,77,Chrysler Town and Country Minivan 2012
1796,dataset\cars_train\01797.jpg,25,19,612,302,153,Land Rover Range Rover SUV 2012
1797,dataset\cars_train\01798.jpg,42,158,496,355,170,Nissan 240SX Coupe 1998
1798,dataset\cars_train\01799.jpg,52,105,233,194,83,Dodge Caliber Wagon 2007
1799,dataset\cars_train\01800.jpg,47,97,608,440,123,HUMMER H3T Crew Cab 2010
1800,dataset\cars_train\01801.jpg,15,25,239,182,94,Dodge Durango SUV 2007
1801,dataset\cars_train\01802.jpg,10,42,298,203,75,Chrysler Aspen SUV 2009
1802,dataset\cars_train\01803.jpg,58,48,340,217,12,Audi A5 Coupe 2012
1803,dataset\cars_train\01804.jpg,37,334,1486,1120,92,Dodge Challenger SRT8 2011
1804,dataset\cars_train\01805.jpg,15,37,284,160,14,Audi R8 Coupe 2012
1805,dataset\cars_train\01806.jpg,10,62,252,149,53,Chevrolet Silverado 1500 Hybrid Crew Cab 2012
1806,dataset\cars_train\01807.jpg,14,135,374,268,33,BMW M3 Coupe 2012
1807,dataset\cars_train\01808.jpg,82,133,974,665,74,Chevrolet Silverado 1500 Regular Cab 2012
1808,dataset\cars_train\01809.jpg,39,155,555,343,176,Rolls-Royce Phantom Sedan 2012
1809,dataset\cars_train\01810.jpg,21,243,617,422,20,Audi S5 Convertible 2012
1810,dataset\cars_train\01811.jpg,118,140,364,303,51,Cadillac SRX SUV 2012
1811,dataset\cars_train\01812.jpg,57,64,1005,608,58,Chevrolet Camaro Convertible 2012
1812,dataset\cars_train\01813.jpg,81,185,385,333,154,Land Rover LR2 SUV 2012
1813,dataset\cars_train\01814.jpg,6,128,448,341,193,Volvo 240 Sedan 1993
1814,dataset\cars_train\01815.jpg,14,23,250,163,53,Chevrolet Silverado 1500 Hybrid Crew Cab 2012
1815,dataset\cars_train\01816.jpg,111,92,645,435,77,Chrysler Town and Country Minivan 2012
1816,dataset\cars_train\01817.jpg,32,14,437,287,51,Cadillac SRX SUV 2012
1817,dataset\cars_train\01818.jpg,25,62,555,330,45,Bugatti Veyron 16.4 Coupe 2009
1818,dataset\cars_train\01819.jpg,22,52,257,176,7,Aston Martin V8 Vantage Convertible 2012
1819,dataset\cars_train\01820.jpg,88,233,956,620,163,Mercedes-Benz E-Class Sedan 2012
1820,dataset\cars_train\01821.jpg,87,129,758,358,28,BMW 3 Series Sedan 2012
1821,dataset\cars_train\01822.jpg,23,28,600,412,138,Hyundai Elantra Touring Hatchback 2012
1822,dataset\cars_train\01823.jpg,82,109,450,300,80,Chrysler PT Cruiser Convertible 2008
1823,dataset\cars_train\01824.jpg,55,31,341,238,185,Toyota Sequoia SUV 2012
1824,dataset\cars_train\01825.jpg,79,49,555,421,34,BMW M5 Sedan 2010
1825,dataset\cars_train\01826.jpg,31,10,621,400,84,Dodge Caravan Minivan 1997
1826,dataset\cars_train\01827.jpg,188,282,1585,1157,62,Chevrolet Sonic Sedan 2012
1827,dataset\cars_train\01828.jpg,70,105,443,285,48,Buick Verano Sedan 2012
1828,dataset\cars_train\01829.jpg,36,103,589,325,138,Hyundai Elantra Touring Hatchback 2012
1829,dataset\cars_train\01830.jpg,78,106,709,502,131,Hyundai Tucson SUV 2012
1830,dataset\cars_train\01831.jpg,43,69,608,452,115,Ford E-Series Wagon Van 2012
1831,dataset\cars_train\01832.jpg,29,18,157,86,0,AM General Hummer SUV 2000
1832,dataset\cars_train\01833.jpg,21,97,622,387,10,Aston Martin Virage Coupe 2012
1833,dataset\cars_train\01834.jpg,143,91,556,370,123,HUMMER H3T Crew Cab 2010
1834,dataset\cars_train\01835.jpg,72,94,577,397,90,Dodge Dakota Club Cab 2007
1835,dataset\cars_train\01836.jpg,81,87,581,348,86,Dodge Ram Pickup 3500 Quad Cab 2009
1836,dataset\cars_train\01837.jpg,79,118,373,262,89,Dodge Dakota Crew Cab 2010
1837,dataset\cars_train\01838.jpg,5,37,280,157,26,BMW 1 Series Convertible 2012
1838,dataset\cars_train\01839.jpg,124,43,955,406,25,BMW ActiveHybrid 5 Sedan 2012
1839,dataset\cars_train\01840.jpg,98,55,686,463,143,Jaguar XK XKR 2012
1840,dataset\cars_train\01841.jpg,5,56,495,210,25,BMW ActiveHybrid 5 Sedan 2012
1841,dataset\cars_train\01842.jpg,30,36,452,237,162,Mercedes-Benz SL-Class Coupe 2009
1842,dataset\cars_train\01843.jpg,17,87,635,468,185,Toyota Sequoia SUV 2012
1843,dataset\cars_train\01844.jpg,33,176,608,468,193,Volvo 240 Sedan 1993
1844,dataset\cars_train\01845.jpg,65,65,268,180,161,Mercedes-Benz C-Class Sedan 2012
1845,dataset\cars_train\01846.jpg,137,391,926,675,149,Lamborghini Reventon Coupe 2008
1846,dataset\cars_train\01847.jpg,160,208,1465,1018,54,Chevrolet Corvette Convertible 2012
1847,dataset\cars_train\01848.jpg,23,104,447,306,22,Audi S4 Sedan 2012
1848,dataset\cars_train\01849.jpg,12,115,640,470,120,GMC Acadia SUV 2012
1849,dataset\cars_train\01850.jpg,309,190,970,506,139,Hyundai Azera Sedan 2012
1850,dataset\cars_train\01851.jpg,11,104,293,185,30,BMW 6 Series Convertible 2007
1851,dataset\cars_train\01852.jpg,27,21,626,433,7,Aston Martin V8 Vantage Convertible 2012
1852,dataset\cars_train\01853.jpg,270,320,999,763,193,Volvo 240 Sedan 1993
1853,dataset\cars_train\01854.jpg,82,53,323,173,34,BMW M5 Sedan 2010
1854,dataset\cars_train\01855.jpg,81,171,582,452,114,Ford Focus Sedan 2007
1855,dataset\cars_train\01856.jpg,49,124,453,280,120,GMC Acadia SUV 2012
1856,dataset\cars_train\01857.jpg,11,77,267,180,43,Bentley Continental Flying Spur Sedan 2007
1857,dataset\cars_train\01858.jpg,8,61,1023,478,180,Suzuki Aerio Sedan 2007
1858,dataset\cars_train\01859.jpg,114,11,542,414,171,Plymouth Neon Coupe 1999
1859,dataset\cars_train\01860.jpg,67,119,601,406,190,Volkswagen Golf Hatchback 1991
1860,dataset\cars_train\01861.jpg,13,42,497,366,147,Jeep Grand Cherokee SUV 2012
1861,dataset\cars_train\01862.jpg,20,103,602,354,101,Ferrari California Convertible 2012
1862,dataset\cars_train\01863.jpg,11,60,263,183,126,Honda Odyssey Minivan 2007
1863,dataset\cars_train\01864.jpg,64,202,898,574,5,Acura Integra Type R 2001
1864,dataset\cars_train\01865.jpg,19,83,631,404,190,Volkswagen Golf Hatchback 1991
1865,dataset\cars_train\01866.jpg,364,343,720,543,98,FIAT 500 Abarth 2012
1866,dataset\cars_train\01867.jpg,108,8,466,268,194,Volvo XC90 SUV 2007
1867,dataset\cars_train\01868.jpg,78,63,564,344,25,BMW ActiveHybrid 5 Sedan 2012
1868,dataset\cars_train\01869.jpg,21,34,251,171,121,GMC Canyon Extended Cab 2012
1869,dataset\cars_train\01870.jpg,178,424,1828,1090,2,Acura TL Sedan 2012
1870,dataset\cars_train\01871.jpg,43,51,232,144,39,Bentley Arnage Sedan 2009
1871,dataset\cars_train\01872.jpg,17,29,615,377,176,Rolls-Royce Phantom Sedan 2012
1872,dataset\cars_train\01873.jpg,223,160,1420,907,106,Ford Mustang Convertible 2007
1873,dataset\cars_train\01874.jpg,17,34,231,163,69,Chevrolet Silverado 1500 Classic Extended Cab 2007
1874,dataset\cars_train\01875.jpg,68,197,1238,721,166,Mitsubishi Lancer Sedan 2012
1875,dataset\cars_train\01876.jpg,11,101,618,419,48,Buick Verano Sedan 2012
1876,dataset\cars_train\01877.jpg,43,101,961,612,14,Audi R8 Coupe 2012
1877,dataset\cars_train\01878.jpg,64,110,738,529,131,Hyundai Tucson SUV 2012
1878,dataset\cars_train\01879.jpg,25,44,608,292,30,BMW 6 Series Convertible 2007
1879,dataset\cars_train\01880.jpg,120,324,890,731,13,Audi TTS Coupe 2012
1880,dataset\cars_train\01881.jpg,47,34,429,258,66,Chevrolet Malibu Hybrid Sedan 2010
1881,dataset\cars_train\01882.jpg,8,103,620,368,117,GMC Terrain SUV 2012
1882,dataset\cars_train\01883.jpg,36,146,558,342,21,Audi S5 Coupe 2012
1883,dataset\cars_train\01884.jpg,55,95,600,410,68,Chevrolet Silverado 2500HD Regular Cab 2012
1884,dataset\cars_train\01885.jpg,67,57,560,411,129,Hyundai Veloster Hatchback 2012
1885,dataset\cars_train\01886.jpg,11,25,320,225,99,FIAT 500 Convertible 2012
1886,dataset\cars_train\01887.jpg,97,326,1519,927,111,Ford GT Coupe 2006
1887,dataset\cars_train\01888.jpg,32,114,688,406,77,Chrysler Town and Country Minivan 2012
1888,dataset\cars_train\01889.jpg,157,153,392,310,99,FIAT 500 Convertible 2012
1889,dataset\cars_train\01890.jpg,210,382,1134,716,25,BMW ActiveHybrid 5 Sedan 2012
1890,dataset\cars_train\01891.jpg,56,95,627,368,1,Acura RL Sedan 2012
1891,dataset\cars_train\01892.jpg,42,47,292,192,36,BMW X3 SUV 2012
1892,dataset\cars_train\01893.jpg,84,86,571,348,118,GMC Savana Van 2012
1893,dataset\cars_train\01894.jpg,51,84,616,398,136,Hyundai Genesis Sedan 2012
1894,dataset\cars_train\01895.jpg,76,181,938,748,75,Chrysler Aspen SUV 2009
1895,dataset\cars_train\01896.jpg,107,7,679,258,154,Land Rover LR2 SUV 2012
1896,dataset\cars_train\01897.jpg,28,172,961,767,113,Ford F-150 Regular Cab 2007
1897,dataset\cars_train\01898.jpg,246,169,589,353,48,Buick Verano Sedan 2012
1898,dataset\cars_train\01899.jpg,20,90,632,339,134,Hyundai Elantra Sedan 2007
1899,dataset\cars_train\01900.jpg,11,15,277,157,114,Ford Focus Sedan 2007
1900,dataset\cars_train\01901.jpg,56,92,446,327,6,Acura ZDX Hatchback 2012
1901,dataset\cars_train\01902.jpg,1,77,449,233,121,GMC Canyon Extended Cab 2012
1902,dataset\cars_train\01903.jpg,154,277,1453,979,84,Dodge Caravan Minivan 1997
1903,dataset\cars_train\01904.jpg,11,20,193,140,75,Chrysler Aspen SUV 2009
1904,dataset\cars_train\01905.jpg,25,98,617,386,68,Chevrolet Silverado 2500HD Regular Cab 2012
1905,dataset\cars_train\01906.jpg,9,28,247,179,75,Chrysler Aspen SUV 2009
1906,dataset\cars_train\01907.jpg,45,8,233,178,110,Ford Ranger SuperCab 2011
1907,dataset\cars_train\01908.jpg,12,23,787,365,193,Volvo 240 Sedan 1993
1908,dataset\cars_train\01909.jpg,185,132,1015,677,37,BMW Z4 Convertible 2012
1909,dataset\cars_train\01910.jpg,83,68,551,237,167,Nissan Leaf Hatchback 2012
1910,dataset\cars_train\01911.jpg,91,175,567,410,5,Acura Integra Type R 2001
1911,dataset\cars_train\01912.jpg,45,50,262,165,118,GMC Savana Van 2012
1912,dataset\cars_train\01913.jpg,74,84,963,567,187,Toyota Corolla Sedan 2012
1913,dataset\cars_train\01914.jpg,49,43,212,153,115,Ford E-Series Wagon Van 2012
1914,dataset\cars_train\01915.jpg,51,117,441,288,135,Hyundai Accent Sedan 2012
1915,dataset\cars_train\01916.jpg,6,119,494,276,38,Bentley Continental Supersports Conv. Convertible 2012
1916,dataset\cars_train\01917.jpg,38,22,790,450,131,Hyundai Tucson SUV 2012
1917,dataset\cars_train\01918.jpg,8,3,135,86,0,AM General Hummer SUV 2000
1918,dataset\cars_train\01919.jpg,26,133,618,347,35,BMW M6 Convertible 2010
1919,dataset\cars_train\01920.jpg,118,8,790,598,115,Ford E-Series Wagon Van 2012
1920,dataset\cars_train\01921.jpg,28,86,345,215,69,Chevrolet Silverado 1500 Classic Extended Cab 2007
1921,dataset\cars_train\01922.jpg,112,274,1534,886,181,Suzuki Kizashi Sedan 2012
1922,dataset\cars_train\01923.jpg,64,246,955,590,111,Ford GT Coupe 2006
1923,dataset\cars_train\01924.jpg,331,486,1212,917,158,Mazda Tribute SUV 2011
1924,dataset\cars_train\01925.jpg,29,86,614,456,77,Chrysler Town and Country Minivan 2012
1925,dataset\cars_train\01926.jpg,10,53,631,294,102,Ferrari 458 Italia Convertible 2012
1926,dataset\cars_train\01927.jpg,29,108,606,416,108,Ford Expedition EL SUV 2009
1927,dataset\cars_train\01928.jpg,1,49,234,141,91,Dodge Magnum Wagon 2008
1928,dataset\cars_train\01929.jpg,15,166,488,383,42,Bentley Continental GT Coupe 2007
1929,dataset\cars_train\01930.jpg,74,43,839,490,186,Toyota Camry Sedan 2012
1930,dataset\cars_train\01931.jpg,94,235,571,486,135,Hyundai Accent Sedan 2012
1931,dataset\cars_train\01932.jpg,61,67,570,344,51,Cadillac SRX SUV 2012
1932,dataset\cars_train\01933.jpg,96,144,652,394,46,Buick Regal GS 2012
1933,dataset\cars_train\01934.jpg,83,322,1415,773,104,Fisker Karma Sedan 2012
1934,dataset\cars_train\01935.jpg,171,179,544,381,42,Bentley Continental GT Coupe 2007
1935,dataset\cars_train\01936.jpg,78,99,736,438,145,Jeep Wrangler SUV 2012
1936,dataset\cars_train\01937.jpg,212,192,578,332,102,Ferrari 458 Italia Convertible 2012
1937,dataset\cars_train\01938.jpg,28,42,474,341,69,Chevrolet Silverado 1500 Classic Extended Cab 2007
1938,dataset\cars_train\01939.jpg,37,87,463,298,77,Chrysler Town and Country Minivan 2012
1939,dataset\cars_train\01940.jpg,1,7,200,125,176,Rolls-Royce Phantom Sedan 2012
1940,dataset\cars_train\01941.jpg,135,753,2152,1461,73,Chevrolet Silverado 1500 Extended Cab 2012
1941,dataset\cars_train\01942.jpg,13,49,393,275,126,Honda Odyssey Minivan 2007
1942,dataset\cars_train\01943.jpg,32,322,809,652,83,Dodge Caliber Wagon 2007
1943,dataset\cars_train\01944.jpg,17,54,288,189,12,Audi A5 Coupe 2012
1944,dataset\cars_train\01945.jpg,6,17,262,151,47,Buick Rainier SUV 2007
1945,dataset\cars_train\01946.jpg,17,31,289,178,77,Chrysler Town and Country Minivan 2012
1946,dataset\cars_train\01947.jpg,3,89,300,260,85,Dodge Ram Pickup 3500 Crew Cab 2010
1947,dataset\cars_train\01948.jpg,55,110,454,280,24,Audi TT RS Coupe 2012
1948,dataset\cars_train\01949.jpg,15,1,379,221,70,Chevrolet Express Van 2007
1949,dataset\cars_train\01950.jpg,80,123,419,293,162,Mercedes-Benz SL-Class Coupe 2009
1950,dataset\cars_train\01951.jpg,55,49,669,294,109,Ford Edge SUV 2012
1951,dataset\cars_train\01952.jpg,11,31,490,266,0,AM General Hummer SUV 2000
1952,dataset\cars_train\01953.jpg,61,368,1223,836,55,Chevrolet Corvette ZR1 2012
1953,dataset\cars_train\01954.jpg,17,121,550,344,18,Audi TT Hatchback 2011
